lsoa11cd,lsoa11nm,proportion_male,16_29_rate,30_44_rate,45_64_rate,violence_rate_2015,violence_rate_2016,violence_rate_2017,violence_rate_2018,violence_rate_2019
E01000006,Barking and Dagenham 016A,0.5075168481078279,0.2115085536547434,0.28304821150855364,0.17988595127008813,17.107309486780714,17.53453772582359,15.11879049676026,9.761388286334057,22.7765726681128
E01000007,Barking and Dagenham 015A,0.48424467099165897,0.27340129749768305,0.2905468025949954,0.13855421686746988,74.14272474513437,54.156171284634766,63.90532544378698,47.56335282651072,50.21243723445345
E01000008,Barking and Dagenham 015B,0.5012121212121212,0.21636363636363637,0.24848484848484848,0.1606060606060606,29.09090909090909,26.33118782913985,25.28735632183908,33.5608646188851,27.586206896551722
E01000009,Barking and Dagenham 016B,0.5204375359815774,0.22452504317789293,0.2890040299366724,0.18767990788716177,40.29936672423719,31.267142073505212,37.44493392070485,50.865800865800864,44.613710554951034
E01000011,Barking and Dagenham 016C,0.5312689738919247,0.23800850030358228,0.27018822100789314,0.1785063752276867,24.286581663630844,27.043638598647817,20.506634499396863,27.058823529411764,25.6563245823389
E01000012,Barking and Dagenham 015D,0.5002478929102627,0.18691125433812594,0.2999504214179474,0.13336638572136836,25.780862667327714,16.988062442607898,18.560434585785423,27.657735522904062,25.92912705272256
E01000013,Barking and Dagenham 013A,0.48610323312535453,0.17470221213840045,0.2495745887691435,0.2251843448667045,35.73454339194554,27.586206896551722,44.228694714131606,38.644785600847015,42.44031830238727
E01000014,Barking and Dagenham 013B,0.4746059544658494,0.20140105078809106,0.22591943957968477,0.23409223584354932,23.35084646818447,28.554778554778554,25.11415525114155,26.467203682393556,35.46910755148741
E01000015,Barking and Dagenham 009A,0.4634350188048475,0.1980777267028834,0.2352695361470957,0.1980777267028834,25.90890096113665,14.373716632443532,22.52252252252252,18.703241895261847,16.492357200321802
E01000016,Barking and Dagenham 009B,0.4859392575928009,0.18785151856017998,0.218785151856018,0.23959505061867267,15.748031496062993,12.987012987012989,19.51779563719862,21.95945945945946,12.906846240179574
E01000017,Barking and Dagenham 009C,0.4869402985074627,0.18407960199004975,0.21703980099502487,0.2332089552238806,24.875621890547265,20.719073735527115,17.119244391971666,28.75215641173088,19.71014492753623
