lsoa,employ_score,edu_score,health_score,income_score,enviroment_score
E01000001,0.015,0.021,-1.918,0.011,34.502
E01000002,0.017,0.04,-1.931,0.012,37.106
E01000003,0.088,9.612,0.321,0.105,48.337
E01000005,0.144,15.045,0.05,0.217,34.811
E01000006,0.094,14.525,-0.39,0.133,30.477
E01000007,0.202,9.471,0.251,0.3,34.438
E01000008,0.17,27.271,0.289,0.29,26.95
E01000009,0.134,12.983,0.526,0.219,34.481
E01000010,0.078,13.277,0.139,0.197,38.231
E01000011,0.102,20.128,-0.04,0.203,31.691
E01000012,0.124,20.676,-0.114,0.263,44.706
E01000013,0.187,30.488,0.694,0.25,30.067
E01000014,0.165,34.58,0.489,0.242,26.352
E01000015,0.177,28.252,0.511,0.294,27.776
E01000016,0.171,30.756,0.418,0.256,22.581
E01000017,0.21,29.919,0.888,0.292,25.397
E01000018,0.172,33.241,0.566,0.283,18.505
E01000019,0.186,26.977,0.144,0.269,20.511
E01000020,0.163,27.457,0.716,0.24,23.084
E01000021,0.181,32.244,0.656,0.284,43.572
E01000022,0.173,30.798,0.22,0.22,24.505
E01000023,0.135,28.784,0.465,0.297,30.609
E01000024,0.148,30.908,0.53,0.227,25.661
E01000025,0.178,30.659,0.598,0.256,26.808
E01000027,0.178,46.638,0.616,0.295,17.31
E01000028,0.214,28.136,1.473,0.324,13.087
E01000029,0.11,19.024,0.144,0.139,19.141
E01000030,0.181,38.598,0.424,0.314,21.883
E01000031,0.121,12.981,-0.038,0.143,26.07
E01000032,0.137,23.528,0.404,0.175,33.927
E01000033,0.215,36.797,0.483,0.297,23.507
E01000034,0.172,32.755,0.866,0.274,14.517
E01000035,0.128,22.417,0.32,0.191,23.035
E01000036,0.099,18.761,-0.146,0.142,30.868
E01000037,0.153,19.495,-0.347,0.147,18.161
E01000038,0.121,18.619,-0.043,0.143,16.214
E01000039,0.106,22.335,0.164,0.156,16.21
E01000040,0.189,27.243,0.177,0.266,26.427
E01000041,0.152,37.655,0.403,0.213,29.204
E01000042,0.234,33.421,0.393,0.338,24.491
E01000043,0.153,32.146,0.35,0.237,27.521
E01000044,0.114,22.648,-0.108,0.195,36.819
E01000045,0.154,26.985,0.286,0.267,41.391
E01000046,0.151,31.274,0.209,0.232,26.087
E01000048,0.245,25.843,0.853,0.38,23.015
E01000049,0.172,28.621,0.487,0.304,25.937
E01000050,0.14,25.82,0.564,0.211,41.971
E01000051,0.196,29.678,0.537,0.327,27.814
E01000052,0.133,28.5,0.243,0.223,31.418
E01000053,0.177,29.072,0.897,0.283,30.049
E01000054,0.138,26.969,0.22,0.232,24.27
E01000055,0.155,31.103,-0.102,0.229,24.15
E01000056,0.191,26.46,0.856,0.283,24.446
E01000057,0.188,33.542,0.408,0.268,27.935
E01000058,0.157,26.186,0.135,0.237,26.121
E01000059,0.193,27.418,0.172,0.267,27.838
E01000060,0.187,23.269,0.665,0.28,20.634
E01000061,0.253,43.438,0.978,0.414,16.687
E01000062,0.134,32.463,0.168,0.217,17.52
E01000063,0.17,35.98,0.287,0.241,24.595
E01000064,0.164,31.12,0.814,0.244,31.889
E01000065,0.195,28.791,1.112,0.266,25.844
E01000066,0.125,20.196,0.16,0.154,15.929
E01000067,0.097,17.368,-0.222,0.163,17.651
E01000068,0.101,14.954,0.018,0.159,21.528
E01000069,0.087,16.125,-0.244,0.104,18.754
E01000070,0.103,15.134,-0.476,0.135,24.524
E01000071,0.074,15.911,-0.13,0.149,20.022
E01000072,0.176,35.4,0.667,0.276,35.696
E01000073,0.171,37.697,0.747,0.256,22.804
E01000074,0.157,30.851,0.881,0.26,19.598
E01000075,0.155,33.027,0.291,0.237,36.327
E01000076,0.199,37.948,0.691,0.252,23.312
E01000077,0.182,34.523,0.437,0.26,32.429
E01000078,0.151,35.056,0.19,0.287,30.221
E01000079,0.174,29.921,0.771,0.253,24.235
E01000080,0.185,26.006,0.474,0.24,21.008
E01000081,0.153,32.488,0.484,0.197,24.378
E01000082,0.166,27.652,0.447,0.225,28.441
E01000083,0.175,27.978,0.571,0.296,30.662
E01000084,0.175,42.675,0.482,0.284,28.959
E01000085,0.18,36.289,0.432,0.248,27.669
E01000086,0.17,28.087,0.936,0.249,25.582
E01000087,0.163,31.003,0.66,0.248,29.363
E01000088,0.138,24.87,0.568,0.196,33.36
E01000089,0.133,26.1,0.128,0.211,37.801
E01000090,0.133,22.368,-0.209,0.218,23.777
E01000091,0.218,38.37,0.658,0.33,23.48
E01000092,0.147,20.105,-0.009,0.227,18.078
E01000093,0.224,30.957,0.776,0.304,25.505
E01000094,0.116,14.151,0.345,0.227,30.354
E01000095,0.135,28.572,0.134,0.223,15.912
E01000096,0.143,33.899,0.346,0.344,31.316
E01000097,0.178,34.597,0.949,0.281,24.714
E01000098,0.185,33.62,0.587,0.259,21.239
E01000099,0.149,26.637,0.555,0.241,22.122
E01000100,0.179,28.331,0.308,0.256,31.192
E01000101,0.176,28.401,0.915,0.286,32.979
E01000102,0.176,26.767,0.72,0.288,25.435
E01000103,0.166,38.658,0.533,0.303,19.068
E01000104,0.21,31.0,0.324,0.303,20.33
E01000105,0.217,37.926,0.92,0.312,21.12
E01000106,0.22,30.012,0.479,0.317,36.605
E01000107,0.142,25.511,0.19,0.172,21.421
E01000108,0.118,22.549,0.192,0.186,41.181
E01000109,0.126,25.054,0.066,0.176,29.251
E01000110,0.093,14.102,0.115,0.115,16.262
E01000111,0.129,23.612,0.225,0.241,29.581
E01000112,0.096,16.704,-0.196,0.155,35.826
E01000113,0.117,13.913,-0.247,0.196,28.442
E01000114,0.111,20.937,0.082,0.185,30.631
E01000115,0.048,3.58,-1.326,0.045,12.008
E01000116,0.066,3.548,-1.018,0.089,17.71
E01000117,0.07,6.166,-1.128,0.087,18.137
E01000118,0.078,8.245,-1.148,0.099,13.876
E01000119,0.06,3.487,-1.242,0.093,18.149
E01000120,0.063,4.206,-1.19,0.08,15.45
E01000121,0.216,25.501,0.812,0.314,12.994
E01000122,0.064,2.726,-1.269,0.082,17.123
E01000123,0.066,8.788,-0.761,0.102,14.84
E01000124,0.137,12.366,-0.025,0.197,26.682
E01000125,0.12,28.111,0.248,0.244,28.006
E01000126,0.17,14.402,0.341,0.281,30.59
E01000127,0.166,22.471,0.109,0.254,19.029
E01000128,0.11,26.48,-0.614,0.21,22.006
E01000129,0.135,29.039,0.387,0.256,32.726
E01000130,0.156,19.589,0.17,0.245,38.234
E01000131,0.093,13.805,-0.262,0.114,17.759
E01000132,0.132,22.903,-0.03,0.22,18.638
E01000133,0.203,28.225,0.604,0.25,23.073
E01000134,0.126,17.314,-0.217,0.227,23.376
E01000135,0.066,3.744,-0.559,0.088,23.999
E01000136,0.029,4.043,-1.601,0.043,29.014
E01000137,0.162,9.643,0.324,0.263,30.309
E01000138,0.155,8.308,-0.178,0.21,30.415
E01000139,0.053,3.485,-1.35,0.11,31.486
E01000140,0.076,9.38,0.027,0.134,33.395
E01000141,0.111,11.624,0.018,0.19,63.894
E01000142,0.1,7.937,-0.045,0.17,36.083
E01000143,0.179,18.725,-0.056,0.268,22.453
E01000144,0.089,4.409,-0.86,0.107,38.035
E01000145,0.06,3.316,-1.183,0.104,28.826
E01000146,0.079,2.841,-0.9,0.088,36.068
E01000147,0.046,9.339,-0.984,0.08,24.955
E01000148,0.15,18.903,0.129,0.231,29.669
E01000150,0.082,10.054,-1.215,0.145,31.831
E01000151,0.187,16.538,0.06,0.355,25.646
E01000152,0.163,26.097,-0.033,0.316,18.647
E01000153,0.22,33.507,0.206,0.341,19.76
E01000154,0.162,27.313,0.035,0.256,22.341
E01000155,0.091,16.977,-0.66,0.157,39.495
E01000156,0.056,2.182,-0.951,0.098,19.54
E01000157,0.079,10.499,-0.26,0.136,31.39
E01000158,0.115,9.433,-0.652,0.145,26.342
E01000159,0.105,5.164,-0.938,0.136,16.097
E01000160,0.06,11.616,-1.535,0.106,27.844
E01000161,0.064,4.957,-1.041,0.116,24.968
E01000162,0.108,10.116,0.343,0.163,26.594
E01000163,0.192,11.552,0.164,0.258,16.793
E01000164,0.138,12.097,-0.438,0.215,24.808
E01000165,0.062,4.793,-1.109,0.116,19.051
E01000166,0.106,7.787,-0.765,0.152,14.128
E01000167,0.167,23.455,0.292,0.209,13.46
E01000168,0.058,3.651,-1.282,0.069,9.591
E01000169,0.091,5.053,-0.666,0.101,19.011
E01000170,0.147,12.037,-0.576,0.204,22.757
E01000171,0.124,10.351,-0.174,0.213,46.745
E01000172,0.053,2.229,-1.276,0.094,14.982
E01000173,0.072,5.858,-1.043,0.103,11.963
E01000174,0.109,9.309,-0.232,0.156,27.505
E01000175,0.071,2.501,-1.186,0.078,14.948
E01000176,0.162,19.645,0.017,0.276,16.446
E01000177,0.04,3.155,-1.216,0.069,23.596
E01000178,0.065,1.13,-1.218,0.095,24.91
E01000179,0.05,1.811,-0.94,0.072,22.188
E01000180,0.094,9.209,-0.251,0.149,19.301
E01000181,0.045,0.364,-1.264,0.059,32.402
E01000182,0.049,0.251,-1.097,0.056,36.188
E01000183,0.053,1.563,-0.657,0.093,23.114
E01000184,0.192,27.292,-0.008,0.28,21.635
E01000185,0.178,20.283,0.435,0.275,20.402
E01000186,0.034,2.949,-1.376,0.053,12.084
E01000187,0.076,9.589,-0.271,0.169,10.716
E01000188,0.047,2.539,-1.266,0.045,17.882
E01000189,0.177,25.876,-0.017,0.327,28.261
E01000190,0.066,5.484,-0.902,0.087,11.649
E01000191,0.057,1.862,-1.24,0.065,15.091
E01000192,0.078,5.352,-0.781,0.123,30.702
E01000193,0.095,5.879,-0.928,0.105,27.056
E01000194,0.079,8.429,-0.963,0.114,37.227
E01000195,0.16,23.173,0.073,0.249,24.688
E01000196,0.086,15.317,-0.89,0.106,31.51
E01000197,0.063,1.386,-1.214,0.089,38.883
E01000198,0.053,4.471,-1.639,0.101,17.468
E01000199,0.048,1.369,-2.003,0.061,15.382
E01000200,0.069,1.165,-1.633,0.089,20.037
E01000201,0.042,2.223,-1.464,0.045,22.372
E01000202,0.045,2.572,-1.806,0.055,20.739
E01000203,0.091,5.528,-0.788,0.128,21.015
E01000204,0.059,2.273,-1.572,0.073,25.304
E01000205,0.041,0.642,-1.586,0.059,21.286
E01000206,0.019,2.695,-2.158,0.028,16.858
E01000207,0.036,2.261,-1.924,0.053,21.91
E01000208,0.022,1.481,-1.923,0.045,19.712
E01000209,0.035,1.285,-1.568,0.057,20.958
E01000210,0.037,0.536,-1.571,0.062,24.46
E01000211,0.091,4.115,-0.439,0.132,42.013
E01000212,0.051,0.579,-1.794,0.046,24.841
E01000213,0.016,2.894,-2.17,0.025,16.679
E01000214,0.042,0.944,-1.494,0.043,29.099
E01000215,0.074,7.765,-0.866,0.101,24.531
E01000216,0.053,2.393,-1.174,0.08,22.416
E01000217,0.066,7.887,-1.467,0.062,25.891
E01000218,0.079,7.323,-0.952,0.085,30.09
E01000219,0.092,9.159,-0.815,0.116,26.418
E01000220,0.089,5.1,-0.038,0.12,25.386
E01000221,0.202,20.302,0.392,0.316,22.906
E01000222,0.131,15.33,-0.593,0.195,25.144
E01000223,0.174,23.196,-0.033,0.264,26.674
E01000224,0.119,16.046,-0.869,0.174,22.314
E01000225,0.053,7.476,-0.796,0.066,22.15
E01000226,0.147,30.604,-0.01,0.252,26.971
E01000227,0.071,5.926,-0.993,0.105,14.762
E01000228,0.07,4.663,-0.651,0.097,11.052
E01000229,0.126,16.769,-0.18,0.179,17.812
E01000230,0.063,9.417,-1.151,0.089,14.458
E01000231,0.068,4.453,-0.82,0.138,19.356
E01000232,0.1,5.43,-0.399,0.128,19.805
E01000233,0.061,4.102,-0.84,0.102,19.121
E01000234,0.065,5.073,-1.043,0.106,18.082
E01000235,0.14,19.36,0.017,0.215,23.402
E01000236,0.057,2.476,-0.972,0.109,26.804
E01000237,0.045,3.085,-1.128,0.07,31.567
E01000238,0.079,6.444,-1.236,0.086,28.047
E01000239,0.085,7.403,-0.628,0.131,26.014
E01000240,0.081,5.332,-1.024,0.125,25.744
E01000241,0.048,1.628,-1.193,0.083,23.342
E01000242,0.097,4.193,-0.514,0.138,24.722
E01000243,0.065,4.329,-0.321,0.096,43.148
E01000244,0.051,7.569,-0.566,0.098,40.892
E01000245,0.136,14.061,0.112,0.197,35.258
E01000246,0.057,1.53,-1.692,0.066,19.166
E01000247,0.078,2.657,-1.444,0.08,12.605
E01000248,0.048,1.157,-1.023,0.053,21.272
E01000249,0.054,1.103,-1.436,0.041,12.729
E01000250,0.086,3.267,-0.713,0.13,23.726
E01000251,0.134,6.941,0.071,0.16,22.754
E01000252,0.105,2.919,-0.451,0.123,15.049
E01000253,0.039,4.089,-0.477,0.045,13.548
E01000254,0.035,1.695,-1.095,0.043,28.24
E01000255,0.118,9.877,-0.237,0.166,21.407
E01000256,0.053,3.403,-1.265,0.09,14.109
E01000257,0.144,20.341,-0.102,0.227,23.536
E01000258,0.053,3.711,-0.715,0.068,30.655
E01000259,0.068,4.044,-1.042,0.118,20.797
E01000260,0.094,9.55,-0.908,0.144,24.343
E01000261,0.043,1.256,-0.925,0.065,19.538
E01000262,0.058,10.211,-1.187,0.155,8.179
E01000263,0.021,1.16,-1.639,0.028,20.692
E01000264,0.105,4.623,-0.719,0.142,31.007
E01000265,0.104,7.651,-0.391,0.188,26.995
E01000266,0.042,2.08,-1.22,0.051,9.977
E01000267,0.086,2.413,-0.505,0.099,20.161
E01000268,0.098,8.726,-0.782,0.192,35.451
E01000269,0.065,6.739,-1.169,0.075,12.385
E01000270,0.067,4.623,-1.606,0.083,18.702
E01000271,0.05,2.288,-0.759,0.07,16.707
E01000272,0.026,1.18,-1.308,0.044,10.405
E01000273,0.09,2.536,-0.166,0.129,20.797
E01000274,0.111,13.285,-0.601,0.169,24.115
E01000275,0.07,3.156,-0.553,0.12,12.188
E01000276,0.021,0.593,-1.703,0.024,10.46
E01000277,0.109,5.479,-0.122,0.165,19.946
E01000278,0.029,0.711,-2.0,0.029,11.284
E01000279,0.021,2.277,-2.441,0.019,9.013
E01000280,0.028,1.347,-1.755,0.028,9.186
E01000281,0.102,7.65,0.005,0.152,18.684
E01000282,0.053,2.175,-1.288,0.077,16.326
E01000283,0.028,0.568,-1.63,0.038,9.535
E01000284,0.096,7.49,-0.236,0.166,20.594
E01000285,0.116,10.766,-0.189,0.163,16.464
E01000286,0.139,12.776,0.129,0.207,21.064
E01000287,0.14,30.787,0.279,0.209,15.259
E01000288,0.065,8.654,-0.853,0.112,19.086
E01000289,0.208,25.755,0.268,0.318,16.893
E01000290,0.125,15.752,-0.206,0.145,12.422
E01000291,0.204,25.774,0.259,0.265,9.876
E01000292,0.09,3.462,-0.701,0.098,17.713
E01000293,0.059,1.493,-1.351,0.058,21.522
E01000294,0.111,2.214,0.047,0.122,12.391
E01000295,0.059,1.465,-1.004,0.066,37.976
E01000296,0.061,3.797,-0.959,0.102,34.441
E01000297,0.063,11.47,-1.051,0.092,21.798
E01000298,0.056,1.612,-0.862,0.109,36.242
E01000299,0.072,3.96,-0.296,0.131,40.04
E01000300,0.082,1.918,-0.989,0.1,21.216
E01000301,0.05,1.038,-1.634,0.057,17.984
E01000302,0.098,6.913,-0.059,0.149,19.79
E01000303,0.046,1.473,-0.843,0.049,10.884
E01000304,0.064,6.452,-0.53,0.1,23.894
E01000305,0.137,16.998,-0.38,0.192,41.395
E01000306,0.07,11.173,-0.882,0.095,33.876
E01000307,0.078,19.369,-0.725,0.144,31.274
E01000308,0.206,24.822,0.142,0.308,36.296
E01000309,0.071,3.141,-1.071,0.085,26.468
E01000310,0.071,12.896,-0.492,0.104,33.051
E01000311,0.039,3.057,-1.692,0.053,24.942
E01000312,0.138,12.327,0.125,0.199,24.428
E01000313,0.09,11.782,-0.454,0.135,34.113
E01000314,0.05,2.397,-1.192,0.064,29.272
E01000315,0.192,27.606,0.194,0.28,15.706
E01000316,0.107,4.524,-0.745,0.163,33.004
E01000317,0.074,3.227,-0.569,0.111,30.195
E01000318,0.062,3.823,-0.673,0.114,22.935
E01000319,0.064,1.586,-1.345,0.088,20.64
E01000320,0.067,1.613,-0.902,0.082,19.69
E01000321,0.112,4.83,-0.107,0.13,36.35
E01000322,0.087,5.747,-0.591,0.126,42.022
E01000323,0.102,3.593,-0.112,0.141,44.027
E01000324,0.1,4.356,-0.448,0.109,23.071
E01000325,0.045,10.45,-1.358,0.045,7.985
E01000326,0.046,17.612,-0.721,0.091,22.23
E01000327,0.058,10.868,-1.019,0.056,13.972
E01000328,0.06,16.892,-1.201,0.07,8.307
E01000329,0.11,18.955,-0.574,0.145,12.711
E01000330,0.101,15.39,-0.296,0.125,23.219
E01000331,0.157,32.935,-0.064,0.162,14.659
E01000332,0.1,19.069,-0.8,0.115,15.224
E01000333,0.16,32.245,0.17,0.22,19.334
E01000334,0.085,20.102,-0.626,0.104,9.627
E01000335,0.15,42.596,-0.217,0.224,17.027
E01000336,0.164,23.979,0.175,0.257,31.749
E01000337,0.118,16.334,-0.382,0.181,18.413
E01000338,0.099,18.991,-0.8,0.14,22.963
E01000339,0.098,21.813,-0.666,0.115,8.755
E01000340,0.071,21.006,-0.942,0.082,19.004
E01000341,0.067,14.714,-1.013,0.073,11.564
E01000342,0.052,16.061,-1.071,0.057,20.055
E01000343,0.062,17.471,-0.746,0.07,14.35
E01000344,0.051,13.295,-0.884,0.049,6.301
E01000345,0.051,13.058,-1.451,0.056,9.056
E01000346,0.052,15.206,-1.144,0.055,18.254
E01000347,0.063,22.704,-0.465,0.087,18.997
E01000348,0.044,12.878,-1.41,0.034,7.645
E01000349,0.047,10.937,-1.384,0.051,7.624
E01000350,0.055,15.963,-1.132,0.045,12.162
E01000351,0.043,17.837,-1.663,0.047,4.954
E01000352,0.088,21.248,-0.493,0.12,15.655
E01000353,0.049,9.384,-1.435,0.046,7.608
E01000354,0.138,19.689,-0.055,0.161,11.4
E01000355,0.075,15.111,-0.549,0.069,9.348
E01000356,0.072,12.041,-1.067,0.049,7.021
E01000357,0.033,10.638,-1.47,0.053,7.621
E01000358,0.06,10.458,-0.915,0.06,13.417
E01000359,0.059,9.7,-1.41,0.046,9.764
E01000360,0.114,7.762,-0.229,0.123,25.531
E01000361,0.078,13.791,-1.188,0.1,12.588
E01000362,0.075,11.855,-0.979,0.079,13.97
E01000363,0.062,9.007,-0.975,0.052,11.212
E01000364,0.063,13.841,-0.831,0.09,13.108
E01000365,0.092,10.395,-0.354,0.127,14.822
E01000366,0.072,7.934,-0.77,0.098,11.317
E01000367,0.166,41.529,0.207,0.192,19.099
E01000368,0.166,38.308,-0.001,0.25,13.035
E01000369,0.1,16.551,-0.827,0.107,14.442
E01000370,0.072,14.324,-0.701,0.08,10.122
E01000371,0.056,17.005,-1.29,0.072,12.293
E01000372,0.192,30.501,0.27,0.226,14.834
E01000373,0.17,28.225,0.132,0.286,9.986
E01000374,0.204,48.922,0.441,0.283,23.982
E01000375,0.112,27.287,-0.414,0.171,15.626
E01000376,0.071,16.939,-0.754,0.102,15.56
E01000377,0.081,12.746,-0.925,0.1,10.222
E01000378,0.125,20.969,-0.165,0.129,25.461
E01000379,0.104,23.092,-0.561,0.147,15.518
E01000380,0.118,31.329,-0.105,0.189,18.954
E01000381,0.145,30.72,0.011,0.175,19.936
E01000382,0.047,7.217,-1.117,0.038,7.165
E01000383,0.099,23.134,-0.098,0.111,11.219
E01000384,0.068,9.241,-0.876,0.109,23.266
E01000385,0.163,31.981,0.07,0.251,20.819
E01000386,0.194,39.878,0.656,0.272,22.78
E01000387,0.071,11.524,-0.701,0.078,6.66
E01000388,0.064,13.249,-1.019,0.08,11.817
E01000389,0.067,10.561,-0.909,0.099,11.372
E01000390,0.05,13.929,-0.856,0.066,14.491
E01000391,0.085,21.425,-0.929,0.104,12.105
E01000392,0.143,23.815,0.225,0.221,27.218
E01000393,0.063,12.117,-1.102,0.073,17.392
E01000394,0.071,7.133,-0.813,0.089,11.166
E01000395,0.059,9.325,-1.137,0.057,9.508
E01000396,0.057,13.386,-1.343,0.055,10.902
E01000398,0.119,30.445,-0.445,0.162,11.633
E01000399,0.065,18.949,-1.188,0.078,12.515
E01000400,0.088,17.645,-1.014,0.105,18.266
E01000401,0.143,27.763,0.266,0.213,20.301
E01000402,0.122,20.729,-0.496,0.178,15.506
E01000403,0.142,23.806,-0.247,0.214,12.528
E01000404,0.147,22.493,0.017,0.23,22.355
E01000405,0.146,23.282,-0.594,0.21,25.715
E01000406,0.118,18.869,-0.258,0.179,30.403
E01000407,0.107,19.138,-0.229,0.11,22.479
E01000408,0.128,22.197,-0.139,0.184,24.195
E01000409,0.058,18.62,-1.254,0.051,7.977
E01000410,0.043,14.874,-1.449,0.052,12.461
E01000411,0.068,17.084,-0.816,0.074,13.633
E01000412,0.061,12.284,-0.95,0.08,14.59
E01000413,0.064,20.569,-1.1,0.087,15.665
E01000414,0.08,12.74,-0.554,0.101,19.961
E01000415,0.05,15.011,-1.421,0.053,9.335
E01000416,0.125,15.692,-0.42,0.202,13.397
E01000417,0.101,16.689,-0.325,0.117,14.477
E01000418,0.096,22.89,-0.666,0.174,19.408
E01000419,0.065,13.402,-1.086,0.052,10.131
E01000420,0.077,18.688,-0.856,0.07,10.161
E01000421,0.064,9.296,-0.836,0.05,8.348
E01000422,0.219,25.979,-0.222,0.348,10.845
E01000423,0.038,8.785,-1.946,0.034,14.979
E01000424,0.051,3.815,-0.889,0.062,24.888
E01000425,0.045,8.084,-0.491,0.055,4.787
E01000426,0.056,9.077,-0.899,0.068,19.506
E01000427,0.088,13.685,-0.996,0.094,13.888
E01000428,0.121,19.439,0.496,0.165,24.916
E01000429,0.205,34.027,0.598,0.291,25.375
E01000430,0.101,16.195,-0.3,0.161,4.788
E01000431,0.195,34.045,0.456,0.3,19.14
E01000432,0.153,35.475,-0.033,0.205,11.946
E01000433,0.208,31.252,0.192,0.29,19.761
E01000434,0.204,52.474,0.548,0.262,13.998
E01000435,0.148,28.955,-0.101,0.198,16.63
E01000436,0.062,12.04,-1.222,0.066,6.31
E01000437,0.077,19.203,-0.427,0.108,7.875
E01000438,0.079,18.881,-0.836,0.106,16.338
E01000439,0.138,31.238,-0.255,0.173,31.102
E01000440,0.055,18.82,-1.12,0.049,11.524
E01000441,0.166,31.584,0.234,0.238,11.346
E01000442,0.097,19.979,-0.6,0.095,11.553
E01000443,0.114,15.825,0.239,0.116,13.026
E01000444,0.052,6.74,-1.52,0.036,8.01
E01000445,0.044,10.736,-1.669,0.039,6.618
E01000446,0.046,13.676,-0.97,0.045,10.587
E01000447,0.069,6.228,-0.843,0.087,18.472
E01000448,0.042,4.007,-1.409,0.027,6.6
E01000449,0.045,4.394,-1.098,0.032,10.102
E01000450,0.131,20.135,-0.319,0.155,9.663
E01000451,0.06,18.331,-1.212,0.082,10.096
E01000452,0.055,13.425,-1.023,0.07,10.984
E01000453,0.071,18.531,-1.014,0.077,10.803
E01000454,0.117,22.196,-0.064,0.138,15.458
E01000455,0.056,15.106,-1.289,0.052,13.309
E01000456,0.056,12.788,-1.467,0.062,10.926
E01000457,0.053,9.35,-0.535,0.097,24.486
E01000458,0.041,4.021,-1.204,0.063,8.524
E01000459,0.089,9.475,-0.643,0.135,11.974
E01000460,0.034,7.875,-1.824,0.032,4.556
E01000461,0.053,8.646,-1.826,0.052,6.728
E01000462,0.073,12.273,-0.265,0.109,23.712
E01000463,0.045,10.999,-1.228,0.053,8.207
E01000464,0.158,22.722,-0.108,0.257,7.316
E01000465,0.2,26.884,-0.205,0.258,6.217
E01000466,0.157,18.612,-0.364,0.23,8.897
E01000467,0.115,13.321,-0.392,0.193,12.391
E01000468,0.092,5.774,-0.545,0.176,10.552
E01000469,0.101,8.858,-0.424,0.144,12.929
E01000470,0.219,25.545,-0.04,0.33,10.344
E01000471,0.084,24.44,-0.218,0.127,22.364
E01000472,0.073,15.059,-0.138,0.158,55.152
E01000473,0.106,27.325,-0.357,0.182,27.699
E01000474,0.088,29.125,-0.493,0.117,16.895
E01000475,0.084,13.14,-0.416,0.138,24.682
E01000476,0.077,26.333,-0.907,0.107,22.729
E01000477,0.089,28.017,-0.756,0.151,33.564
E01000478,0.08,20.985,-0.668,0.135,31.479
E01000479,0.08,7.231,-0.699,0.12,16.948
E01000480,0.053,6.431,-1.043,0.078,20.522
E01000481,0.139,11.136,-0.018,0.214,40.485
E01000482,0.164,16.378,0.618,0.269,33.086
E01000483,0.167,20.937,0.279,0.29,31.948
E01000484,0.231,22.182,0.165,0.331,17.203
E01000485,0.123,14.146,0.378,0.215,12.254
E01000486,0.075,9.96,-0.655,0.116,15.67
E01000487,0.079,7.353,-0.405,0.141,22.668
E01000488,0.092,11.056,-0.512,0.165,24.184
E01000489,0.095,5.441,0.047,0.157,24.818
E01000490,0.119,12.712,0.38,0.166,36.574
E01000491,0.117,8.558,-0.132,0.167,24.996
E01000492,0.075,5.123,-0.328,0.099,24.817
E01000493,0.07,3.77,-0.571,0.111,19.9
E01000494,0.091,5.264,-0.262,0.183,19.961
E01000495,0.15,12.787,0.696,0.219,32.884
E01000497,0.118,14.262,-0.395,0.189,20.978
E01000498,0.112,33.903,-0.64,0.223,23.553
E01000499,0.115,24.082,-0.188,0.257,29.899
E01000501,0.183,22.606,0.213,0.313,16.67
E01000502,0.141,20.677,-0.547,0.201,22.219
E01000503,0.127,17.571,-0.317,0.194,21.334
E01000504,0.122,8.565,0.031,0.166,27.79
E01000505,0.107,11.819,-0.243,0.156,18.182
E01000506,0.156,20.299,-0.178,0.245,40.168
E01000507,0.107,13.26,-0.406,0.193,20.326
E01000508,0.243,32.236,0.172,0.331,41.832
E01000509,0.128,28.814,-0.373,0.244,27.007
E01000510,0.117,18.891,-0.286,0.225,31.662
E01000511,0.124,18.048,-0.364,0.236,40.92
E01000512,0.082,10.314,-0.788,0.138,35.619
E01000513,0.067,18.445,-0.863,0.106,21.887
E01000514,0.072,9.074,-0.855,0.118,18.828
E01000515,0.122,19.818,-0.414,0.193,27.179
E01000516,0.082,15.889,-0.66,0.131,25.668
E01000517,0.044,6.782,-0.852,0.09,25.592
E01000518,0.099,14.553,-0.12,0.158,26.04
E01000519,0.086,13.078,-0.478,0.147,20.465
E01000520,0.085,13.287,-0.048,0.14,26.084
E01000521,0.276,39.191,0.352,0.359,50.416
E01000522,0.166,26.345,-0.332,0.286,23.773
E01000523,0.157,38.682,-0.114,0.245,41.837
E01000524,0.228,30.118,0.161,0.367,48.184
E01000525,0.196,26.699,0.093,0.271,36.267
E01000526,0.237,28.187,0.717,0.334,22.232
E01000527,0.179,29.682,0.284,0.267,35.79
E01000528,0.279,23.469,0.382,0.371,27.068
E01000530,0.1,5.031,-0.321,0.13,28.898
E01000531,0.131,12.989,-0.216,0.213,42.017
E01000532,0.109,13.09,-0.186,0.148,35.111
E01000533,0.205,27.229,0.364,0.293,38.62
E01000534,0.112,10.709,-0.39,0.177,32.311
E01000535,0.115,19.303,-0.439,0.178,51.595
E01000536,0.061,3.41,-0.96,0.083,20.83
E01000538,0.046,2.414,-1.079,0.067,14.386
E01000539,0.052,3.607,-0.754,0.082,15.557
E01000540,0.061,3.122,-0.906,0.084,13.155
E01000541,0.068,5.013,-0.319,0.11,20.265
E01000543,0.095,8.372,-0.412,0.153,25.161
E01000544,0.204,15.643,0.47,0.323,39.741
E01000545,0.124,8.093,0.394,0.166,49.051
E01000546,0.113,4.75,-0.213,0.16,42.555
E01000547,0.121,5.383,0.028,0.16,33.9
E01000548,0.15,13.618,0.256,0.231,39.994
E01000549,0.094,3.949,-0.356,0.133,27.378
E01000550,0.178,13.861,0.778,0.267,35.455
E01000551,0.25,23.094,0.715,0.366,29.431
E01000552,0.271,25.971,0.541,0.358,50.508
E01000553,0.134,23.81,0.137,0.215,34.019
