lsoa,employ_score,edu_score,health_score,income_score,enviroment_score
E01027889,0.102,28.572,-0.191,0.108,4.16
E01027890,0.065,19.96,-0.789,0.059,20.598
E01027891,0.075,18.437,-0.491,0.068,9.096
E01027892,0.14,37.925,0.173,0.142,17.682
E01027893,0.042,8.36,-1.104,0.037,4.191
E01027894,0.084,15.197,-0.676,0.078,3.734
E01027895,0.074,11.747,-0.619,0.064,6.383
E01027896,0.075,10.686,-0.899,0.077,13.925
E01027897,0.047,9.237,-1.456,0.046,14.064
E01027898,0.051,10.683,-1.084,0.062,11.885
E01027899,0.057,4.711,-1.16,0.066,11.627
E01027900,0.045,3.825,-1.193,0.048,21.219
E01027901,0.064,8.052,-1.359,0.045,7.461
E01027902,0.081,7.245,-0.564,0.099,21.778
E01027903,0.048,2.695,-1.045,0.035,28.23
E01027904,0.041,5.558,-0.851,0.051,24.906
E01027905,0.142,30.591,-0.052,0.186,28.299
E01027906,0.144,54.362,0.078,0.181,5.912
E01027907,0.281,77.905,0.981,0.357,7.425
E01027908,0.146,40.25,0.514,0.22,19.048
E01027909,0.155,54.808,0.339,0.208,41.873
E01027910,0.133,46.293,-0.029,0.209,18.931
E01027911,0.103,16.291,-0.364,0.106,20.303
E01027912,0.049,10.738,-1.007,0.039,9.817
E01027913,0.052,8.374,-0.801,0.033,10.158
E01027914,0.048,7.758,-1.119,0.033,3.572
E01027915,0.104,28.824,0.014,0.103,8.225
E01027916,0.101,29.467,0.037,0.13,3.622
E01027917,0.061,7.989,-0.945,0.064,2.797
E01027918,0.111,24.59,0.011,0.096,16.555
E01027919,0.06,11.544,-0.452,0.065,21.073
E01027920,0.067,13.691,-0.564,0.04,5.473
E01027921,0.07,9.019,-0.417,0.097,6.77
E01027922,0.035,5.956,-1.395,0.026,15.198
E01027923,0.085,13.084,-0.449,0.077,20.127
E01027924,0.063,8.781,-1.009,0.06,15.274
E01027925,0.102,20.752,-0.024,0.111,16.695
E01027926,0.118,21.486,0.024,0.073,15.266
E01027927,0.185,38.163,0.723,0.201,12.918
E01027928,0.153,28.248,0.221,0.159,43.823
E01027929,0.107,23.177,0.356,0.152,12.283
E01027930,0.259,65.66,1.164,0.291,11.658
E01027931,0.195,31.617,0.737,0.216,9.69
E01027932,0.121,32.032,-0.234,0.134,25.978
E01027933,0.131,28.965,0.263,0.154,38.704
E01027934,0.061,8.951,-0.29,0.058,8.844
E01027935,0.123,38.199,0.625,0.167,17.718
E01027936,0.081,9.366,-0.287,0.056,6.337
E01027937,0.212,49.232,0.974,0.272,34.384
E01027938,0.057,15.621,-0.151,0.045,8.651
E01027939,0.261,86.285,1.046,0.316,12.735
E01027940,0.075,21.255,-0.268,0.071,6.953
E01027941,0.141,29.763,0.238,0.133,10.45
E01027942,0.232,71.098,0.689,0.285,14.284
E01027943,0.113,44.229,0.129,0.126,25.287
E01027944,0.088,17.915,-0.088,0.063,10.589
E01027945,0.133,26.153,0.41,0.134,16.637
E01027946,0.11,34.99,0.031,0.144,8.609
E01027947,0.127,19.041,0.145,0.132,10.435
E01027948,0.127,17.905,-0.046,0.114,13.517
E01027949,0.1,22.504,0.241,0.103,25.597
E01027950,0.151,27.086,0.358,0.133,14.087
E01027951,0.306,85.473,1.099,0.389,6.841
E01027952,0.217,59.129,1.246,0.272,21.534
E01027953,0.16,18.965,0.268,0.118,7.737
E01027954,0.191,40.026,1.187,0.21,17.557
E01027955,0.187,46.576,0.613,0.195,23.658
E01027956,0.258,64.459,1.392,0.351,8.474
E01027957,0.155,42.137,0.359,0.188,10.64
E01027958,0.211,52.837,0.952,0.294,11.967
E01027959,0.069,9.738,-0.234,0.048,13.908
E01027960,0.196,22.635,0.615,0.182,16.719
E01027961,0.079,18.976,-0.22,0.075,12.904
E01027962,0.114,24.893,0.042,0.113,12.582
E01027963,0.137,37.189,0.648,0.183,6.685
E01027964,0.218,47.435,0.974,0.205,15.212
E01027965,0.232,67.051,1.547,0.322,18.402
E01027966,0.301,54.655,2.042,0.293,6.034
E01027967,0.192,39.934,0.943,0.203,32.667
E01027968,0.305,42.39,1.449,0.328,21.607
E01027969,0.154,42.181,0.574,0.152,22.222
E01027970,0.102,22.94,-0.008,0.089,14.784
E01027971,0.117,19.613,0.128,0.068,9.266
E01027972,0.119,23.351,0.144,0.135,13.112
E01027973,0.074,10.145,-0.468,0.046,10.478
E01027974,0.324,84.928,1.441,0.422,16.796
E01027975,0.129,26.308,0.459,0.168,18.702
E01027976,0.233,49.577,1.2,0.246,20.47
E01027977,0.172,36.284,0.786,0.187,19.725
E01027978,0.249,62.955,0.976,0.329,31.214
E01027979,0.12,24.852,-0.015,0.093,14.35
E01027980,0.227,58.419,0.822,0.275,10.125
E01027981,0.124,21.284,-0.015,0.115,21.092
E01027982,0.155,27.64,0.669,0.136,14.703
E01027983,0.207,54.584,0.786,0.277,31.588
E01027984,0.096,12.711,-0.08,0.087,14.004
E01027985,0.136,29.64,0.739,0.15,15.257
E01027986,0.232,52.54,1.354,0.236,17.44
E01027987,0.203,60.847,0.621,0.281,16.397
E01027988,0.099,21.383,0.02,0.096,19.294
E01027989,0.134,23.077,0.124,0.102,11.328
E01027990,0.099,23.579,0.063,0.092,15.987
E01027991,0.186,42.602,0.469,0.183,13.016
E01027992,0.056,9.951,-0.638,0.041,8.142
E01027993,0.075,15.33,-0.297,0.063,13.393
E01027994,0.11,22.886,-0.167,0.112,8.05
E01027995,0.092,23.061,0.161,0.072,8.131
E01027996,0.162,42.268,0.535,0.193,9.569
E01027997,0.108,24.426,-0.05,0.093,15.727
E01027998,0.13,27.38,0.268,0.129,16.925
E01027999,0.085,10.072,-0.44,0.076,10.68
E01028000,0.065,6.83,-0.477,0.067,20.791
E01028001,0.302,85.223,1.57,0.41,10.217
E01028002,0.147,24.172,0.591,0.105,9.528
E01028003,0.117,18.632,0.321,0.116,14.281
E01028004,0.068,15.16,-0.212,0.063,24.991
E01028005,0.075,7.474,-0.471,0.065,27.165
E01028006,0.056,17.62,-0.291,0.043,23.861
E01028007,0.045,6.91,-0.269,0.076,41.218
E01028008,0.211,72.435,1.006,0.263,10.836
E01028009,0.076,9.312,-0.389,0.044,4.671
E01028010,0.071,6.947,-0.368,0.054,9.497
E01028011,0.178,32.89,0.84,0.228,22.555
E01028012,0.108,17.014,0.019,0.114,29.885
E01028013,0.099,17.804,0.221,0.109,9.617
E01028014,0.215,44.079,0.957,0.23,6.011
E01028015,0.098,19.196,0.124,0.082,4.602
E01028016,0.118,23.439,0.382,0.12,4.823
E01028017,0.176,33.03,0.721,0.188,6.261
E01028018,0.076,15.1,-0.105,0.091,5.576
E01028019,0.175,51.433,0.796,0.216,10.871
E01028020,0.146,16.354,0.859,0.191,46.66
